gender,age,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_calls,senior_citizen,churn
Male,64,53,679.9905038576479,36123.00568337461,Monthly,Fiber,Cash,3,1,1
Female,29,59,1772.0717288385795,104605.14565422808,Yearly,Fiber,Debit Card,1,0,0
Male,33,41,584.0971741369281,23863.79934380938,Monthly,DSL,Credit Card,5,0,0
Male,41,68,421.2955377553091,28637.59714530092,Monthly,Fiber,Debit Card,1,0,1
Male,36,68,2071.2418203388715,140764.8221338376,Yearly,DSL,Credit Card,9,0,1
Female,25,8,1743.9113009369457,13854.474460948126,Yearly,Fiber,Cash,1,0,1
Male,48,2,520.4639500709714,1064.1644931844621,Monthly,Fiber,Credit Card,6,0,0
Male,38,41,393.3359652961688,16218.940460558959,Monthly,DSL,Cash,0,0,1
Male,34,55,2971.3423162052036,163504.40099597262,Monthly,None,Debit Card,6,0,1
Female,40,16,380.05759680249406,6120.2725118269855,Yearly,DSL,Debit Card,9,0,0
Male,54,62,1499.226283235431,92871.3576774297,Yearly,None,Credit Card,4,0,0
Male,33,48,1661.4713664407782,79705.45839669181,Yearly,None,Debit Card,0,0,0
Male,23,30,615.6563990612017,18433.70331721311,Yearly,Fiber,Credit Card,5,0,0
Male,25,12,755.4668017872339,9118.23163299592,Monthly,Fiber,Debit Card,6,0,0
Female,42,35,1248.8735173079517,43771.022941625335,Yearly,DSL,UPI,0,0,0
Male,35,11,2355.524865776889,25887.794748143762,Monthly,None,Credit Card,8,0,0
Female,42,64,1668.1225449627202,106743.41967693761,Monthly,DSL,Cash,6,1,0
Female,29,50,2021.3350612929962,100975.65487250504,Monthly,None,UPI,0,0,0
Female,32,21,2958.971298744822,62096.22461732502,Yearly,Fiber,Cash,2,0,1
Male,43,69,2372.614675345666,163700.6696342865,Yearly,Fiber,Debit Card,4,0,0
Female,58,48,1471.776044981288,70568.64676837888,Monthly,DSL,UPI,3,0,1
Male,62,20,1504.3931888506816,30078.517269164633,Yearly,DSL,Debit Card,1,0,1
Female,43,67,1969.6846080107134,132039.50389916936,Yearly,Fiber,Credit Card,0,0,0
Female,64,44,2095.486062731042,92217.65096411086,Monthly,Fiber,Cash,3,0,0
Female,49,33,1650.9194997590125,54396.12946305509,Monthly,Fiber,Debit Card,6,0,0
Female,27,61,2040.1253016004457,124385.97766139325,Yearly,DSL,Cash,3,0,0
Female,33,9,362.5377349180667,3257.7484842943113,Monthly,None,Cash,8,0,1
Female,24,68,1458.9817325214792,99183.05524142495,Monthly,None,Debit Card,7,0,1
Female,34,35,1052.1328053983873,36796.39359285277,Yearly,DSL,Credit Card,7,0,0
Female,40,65,647.771002156398,42110.96862979459,Yearly,DSL,Cash,4,1,1
Male,43,8,567.7755845836929,4559.0838609874345,Yearly,DSL,Debit Card,0,0,0
Male,38,45,1927.6188471596022,86802.22043623733,Yearly,Fiber,Credit Card,8,0,1
